 ***** DATA CARD NO.  5   RP   0   181 1  1003 0 0  1.0  0.0                                                 - - - RADIATION PATTERNS - - -

  - - ANGLES - -           - POWER GAINS -       - - - POLARIZATION - - -    - - - E(THETA) - - -    - - - E(PHI) - - -
  THETA     PHI        VERT.   HOR.    TOTAL      AXIAL     TILT   SENSE     MAGNITUDE    PHASE      MAGNITUDE    PHASE 
 DEGREES  DEGREES       DB      DB      DB        RATIO     DEG.              VOLTS/M    DEGREES      VOLTS/M    DEGREES
  143.00     0.00     -86.30 -999.00  -86.30    0.00000     0.00 LHCP       4.83983e-05    89.15    0.00000e+00     0.00
  144.00     0.00     -86.51 -999.00  -86.51    0.00000     0.00 LHCP       4.72542e-05    89.12    0.00000e+00     0.00
  145.00     0.00     -86.73 -999.00  -86.73    0.00000     0.00 LHCP       4.60956e-05    89.09    0.00000e+00     0.00
  146.00     0.00     -86.95 -999.00  -86.95    0.00000     0.00 LHCP       4.49232e-05    89.06    0.00000e+00     0.00
  147.00     0.00     -87.18 -999.00  -87.18    0.00000     0.00 LHCP       4.37373e-05    89.03    0.00000e+00     0.00
  148.00     0.00     -87.42 -999.00  -87.42    0.00000     0.00 LHCP       4.25386e-05    89.00    0.00000e+00     0.00
  149.00     0.00     -87.68 -999.00  -87.68    0.00000     0.00 LHCP       4.13275e-05    88.97    0.00000e+00     0.00
  150.00     0.00     -87.94 -999.00  -87.94    0.00000     0.00 LHCP       4.01044e-05    88.95    0.00000e+00     0.00
  151.00     0.00     -88.21 -999.00  -88.21    0.00000     0.00 LHCP       3.88700e-05    88.92    0.00000e+00     0.00
  152.00     0.00     -88.49 -999.00  -88.49    0.00000     0.00 LHCP       3.76245e-05    88.90    0.00000e+00     0.00
  153.00     0.00     -88.79 -999.00  -88.79    0.00000     0.00 LHCP       3.63686e-05    88.88    0.00000e+00     0.00
  154.00     0.00     -89.09 -999.00  -89.09    0.00000     0.00 LHCP       3.51027e-05    88.86    0.00000e+00     0.00
  155.00     0.00     -89.41 -999.00  -89.41    0.00000     0.00 LHCP       3.38272e-05    88.84    0.00000e+00     0.00
  156.00     0.00     -89.75 -999.00  -89.75    0.00000     0.00 LHCP       3.25426e-05    88.82    0.00000e+00     0.00
  157.00     0.00     -90.10 -999.00  -90.10    0.00000     0.00 LHCP       3.12492e-05    88.81    0.00000e+00     0.00
  158.00     0.00     -90.47 -999.00  -90.47    0.00000     0.00 LHCP       2.99476e-05    88.79    0.00000e+00     0.00
  159.00     0.00     -90.86 -999.00  -90.86    0.00000     0.00 LHCP       2.86382e-05    88.78    0.00000e+00     0.00
  160.00     0.00     -91.27 -999.00  -91.27    0.00000     0.00 LHCP       2.73213e-05    88.76    0.00000e+00     0.00
  161.00     0.00     -91.70 -999.00  -91.70    0.00000     0.00 LHCP       2.59974e-05    88.75    0.00000e+00     0.00
  162.00     0.00     -92.16 -999.00  -92.16    0.00000     0.00 LHCP       2.46669e-05    88.74    0.00000e+00     0.00
  163.00     0.00     -92.64 -999.00  -92.64    0.00000     0.00 LHCP       2.33301e-05    88.73    0.00000e+00     0.00
  164.00     0.00     -93.16 -999.00  -93.16    0.00000     0.00 LHCP       2.19874e-05    88.72    0.00000e+00     0.00
  165.00     0.00     -93.71 -999.00  -93.71    0.00000     0.00 LHCP       2.06393e-05    88.71    0.00000e+00     0.00
  166.00     0.00     -94.30 -999.00  -94.30    0.00000     0.00 LHCP       1.92860e-05    88.70    0.00000e+00     0.00
  167.00     0.00     -94.93 -999.00  -94.93    0.00000     0.00 LHCP       1.79280e-05    88.69    0.00000e+00     0.00
